locus_tag	GRYC_note
CAGL0A00165g	some similarities with KLLA0E10593g Kluyveromyces lactis
CAGL0A00187g	weakly similar to uniprot|P53191 Saccharomyces cerevisiae YGL023c PIB2 phosphatidylinositol 3-phosphate binding
CAGL0A00209g	highly similar to uniprot|P39007 Saccharomyces cerevisiae YGL022w STT3
CAGL0A00231g	similar to uniprot|P43633 Saccharomyces cerevisiae YGL021w ALK1 DNA damage-responsive protein
CAGL0A00253g	similar to uniprot|P53192 Saccharomyces cerevisiae YGL020c
CAGL0A00275g	highly similar to uniprot|P43639 Saccharomyces cerevisiae YGL019w CKB1
CAGL0A00297g	similar to uniprot|P53193 Saccharomyces cerevisiae YGL018c JAC1 molecular chaperone
CAGL0A00319g	similar to uniprot|P16639 Saccharomyces cerevisiae YGL017w ATE1 arginyl tRNA transferase
CAGL0A00341g	similar to uniprot|P25338 Saccharomyces cerevisiae YGL010w
CAGL0A00363g	highly similar to uniprot|P07264 Saccharomyces cerevisiae YGL009c LEU1 3-isopropylmalate dehydratase
CAGL0A00385g	similar to uniprot|P32767 Saccharomyces cerevisiae YGL016w PDR6
CAGL0A00407g	highly similar to uniprot|P21243 Saccharomyces cerevisiae YGL011c SCL1
CAGL0A00429g	highly similar to uniprot|P25340 Saccharomyces cerevisiae YGL012w ERG4 sterol C-24 reductase
CAGL0A00451g	similar to uniprot|P12383 Saccharomyces cerevisiae YGL013c PDR1 transcription factor
CAGL0A00473g	similar to uniprot|P25339 Saccharomyces cerevisiae YGL014w
CAGL0A00495g	highly similar to uniprot|P05030 Saccharomyces cerevisiae YGL008c PMA1 or uniprot|P19657 Saccharomyces cerevisiae YPL036w PMA2
CAGL0A00517g	similar to uniprot|P38929 Saccharomyces cerevisiae YGL006w PMC1
CAGL0A00539g	similar to uniprot|P53195 Saccharomyces cerevisiae YGL005c
CAGL0A00561g	similar to uniprot|P53196 Saccharomyces cerevisiae YGL004c
CAGL0A00583g	weakly similar to uniprot|Q06149 Saccharomyces cerevisiae YLR266c
CAGL0A00605g	similar to uniprot|P53197 Saccharomyces cerevisiae YGL003c CDH1 substrate-specific activator of APC-dependent proteolysis
CAGL0A00627g	similar to uniprot|P53198 Saccharomyces cerevisiae YGL002w ERP6 and similar to uniprot|Q05359 Saccharomyces cerevisiae YAR002C-A
CAGL0A00649g	no similarity
CAGL0A00715g	no similarity
CAGL0A00737g	highly similar to uniprot|P39003 Saccharomyces cerevisiae YDR343c HXT6 or uniprot|P39004 Saccharomyces cerevisiae YDR342c HXT7
CAGL0A00781g	similar to uniprot|P39702 Saccharomyces cerevisiae YAL002w VPS8
CAGL0A00803g	similar to uniprot|P34111 Saccharomyces cerevisiae YAL001c TFC3
CAGL0A00825g	similar to uniprot|Q06168 Saccharomyces cerevisiae YLR321c SFH1
CAGL0A00847g	similar to uniprot|Q9URQ3 Saccharomyces cerevisiae YLR316c TAD3
CAGL0A00869g	similar to uniprot|Q06163 Saccharomyces cerevisiae YLR318w EST2 catalytic subunit of the telomerase
CAGL0A00891g	similar to uniprot|P41697 Saccharomyces cerevisiae YLR319c BUD6
CAGL0A00913g	weakly similar to uniprot|Q06164 Saccharomyces cerevisiae YLR320w
CAGL0A00935g	some similarities with uniprot|P53769 Saccharomyces cerevisiae YLR323c
CAGL0A00957g	similar to uniprot|Q06169 Saccharomyces cerevisiae YLR324w
CAGL0A00979g	highly similar to uniprot|P49167 Saccharomyces cerevisiae YLR325c RPL38
CAGL0A01001g	similar to uniprot|Q06170 Saccharomyces cerevisiae YLR326w
CAGL0A01023g	similar to uniprot|Q06178 Saccharomyces cerevisiae YLR328w or uniprot|P53204 Saccharomyces cerevisiae YGR010w
CAGL0A01045g	highly similar to uniprot|P08417 Saccharomyces cerevisiae YPL262w FUM1 fumarate hydratase
CAGL0A01067g	similar to uniprot|Q08979 Saccharomyces cerevisiae YPL263c KEL3
CAGL0A01089g	similar to uniprot|Q08984 Saccharomyces cerevisiae YPL272c
CAGL0A01111g	highly similar to uniprot|P21306 Saccharomyces cerevisiae YPL271w ATP15
CAGL0A01133g	similar to uniprot|P33311 Saccharomyces cerevisiae YPL270w MDL2
CAGL0A01155g	similar to uniprot|P32526 Saccharomyces cerevisiae YPL269w KAR9
CAGL0A01177g	similar to uniprot|P32383 Saccharomyces cerevisiae YPL268w PLC1 1-phosphatidylinositol-4 5-bisphosphate phosphodiesterase
CAGL0A01193g	no similarity
CAGL0A01199g	similar to uniprot|P53388 Saccharomyces cerevisiae YPL265w DIP5 dicarboxylic amino acid permease
CAGL0A01221g	similar to uniprot|P53386 Saccharomyces cerevisiae YPR192w AQY1
